outer_fold,feature_index,feature,document_frequency,treated_count,control_count,raw_moment,standard_error,z_score,tail_score,source_sign_agreement,subsample_sign_agreement,subsample_top_pool_frequency,tail_sign_agreement,eligible,ranking_score,rank
1,3847,7.5 k l,79,36,43,-9.445521798013945e-05,3.0329752020192182e-05,-3.1142759728881204,-0.3543866,1.0,1.0,0.8333333333333334,1.0,True,2.7249914762771055,46
1,21483,or recurrent,222,122,100,-0.0001263482648411259,3.941748123548357e-05,-3.205386566592371,-0.36404273,1.0,1.0,0.8,1.0,True,2.7245785816035157,47
1,16986,lung. 2.,86,43,43,0.00010390590572304678,3.1555224866864257e-05,3.292827294416053,0.28765643,1.0,1.0,0.7666666666666667,1.0,True,2.7165825178932437,48
1,24611,residual or,236,129,107,-0.0001438952614106546,4.2983255702006727e-05,-3.3477050321233968,-0.37342268,1.0,1.0,0.7333333333333333,1.0,True,2.678164025698717,49
1,13877,histology.,181,105,76,0.00011201476520865382,3.370162364367079e-05,3.3237201386198003,0.42878985,1.0,1.0,0.7333333333333333,1.0,True,2.65897611089584,50
1,28028,to radiation oncology,201,102,99,9.679740409446786e-05,3.0998861288903076e-05,3.1226116079663626,0.26524213,1.0,1.0,0.8,1.0,True,2.6542198667714083,51
1,8731,complaint follow-up after,365,200,165,-9.702817009212706e-05,3.0391331665633045e-05,-3.1926264751948303,-0.2617746,1.0,1.0,0.7666666666666667,1.0,True,2.633916842035735,52
1,10185,diagnosis non-small,143,82,61,-9.539650632727693e-05,2.919535243621341e-05,-3.2675237106899506,-0.30273762,1.0,1.0,0.7333333333333333,1.0,True,2.61401896855196,53
1,10186,diagnosis non-small cell,143,82,61,-9.539650632727693e-05,2.919535243621341e-05,-3.2675237106899506,-0.30273762,1.0,1.0,0.7333333333333333,1.0,True,2.61401896855196,54
1,27305,the lesion shows,79,36,43,8.395779511115501e-05,2.671987750180433e-05,3.142147455784015,0.36935902,1.0,1.0,0.7666666666666667,1.0,True,2.5922716510218127,55
1,3468,5.5 k ul,79,49,30,-9.702020301299486e-05,2.905846661680826e-05,-3.338792933997266,-0.29219627,1.0,1.0,0.7,1.0,True,2.5875645238478806,56
1,3603,6. documentation,201,100,101,-0.00010004183170617518,3.0257419534181912e-05,-3.306357027345229,-0.31133935,1.0,1.0,0.7,1.0,True,2.5624266961925524,57
